更新时间: 2025-11-20 02:44:52（北京时间）

更新时间,#genre#
2025-11-20 02:44:52,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

新动漫,http://115.150.52.249:9668/rtp/239.252.220.132:5140$江西电信
卡酷少儿,http://115.150.52.249:9668/rtp/239.252.219.109:5140$江西电信
金鹰卡通,http://220.173.24.135:4022/rtp/239.81.0.148:4056$广西电信
金鹰卡通,http://115.150.52.249:9668/rtp/239.252.219.69:5140$江西电信
哈哈炫动,http://115.150.52.249:9668/rtp/239.252.219.43:5140$江西电信
嘉佳卡通,http://220.173.24.135:4022/rtp/239.81.0.64:4056$广西电信
嘉佳卡通,http://115.150.52.249:9668/rtp/239.252.219.92:5140$江西电信
中国天气,http://220.173.24.135:4022/rtp/239.81.0.63:4056$广西电信
中国天气,http://115.150.52.249:9668/rtp/239.252.219.143:5140$江西电信
华数4K,http://115.150.52.249:9668/rtp/239.252.220.212:5140$江西电信
华数星影,http://115.150.52.249:9668/rtp/239.252.220.210:5140$江西电信
华数动作影院,http://115.150.52.249:9668/rtp/239.252.220.85:5140$江西电信
华数喜剧影院,http://115.150.52.249:9668/rtp/239.252.220.79:5140$江西电信
华数经典电影,http://115.150.52.249:9668/rtp/239.252.220.139:5140$江西电信
华数热播剧场,http://115.150.52.249:9668/rtp/239.252.220.138:5140$江西电信
华数碟战剧场,http://115.150.52.249:9668/rtp/239.252.220.145:5140$江西电信
华数军旅剧场,http://115.150.52.249:9668/rtp/239.252.220.76:5140$江西电信
华数城市剧场,http://115.150.52.249:9668/rtp/239.252.220.75:5140$江西电信
华数武侠剧场,http://115.150.52.249:9668/rtp/239.252.220.88:5140$江西电信
华数古装剧场,http://115.150.52.249:9668/rtp/239.252.220.77:5140$江西电信
华数魅力时尚,http://115.150.52.249:9668/rtp/239.252.220.137:5140$江西电信
华数少儿动画,http://115.150.52.249:9668/rtp/239.252.220.136:5140$江西电信
华数动画,http://115.150.52.249:9668/rtp/239.252.219.165:5140$江西电信

湖北,#genre#

